Conju-Part-Wt (Max-Conju),VSA_EState7,Fun_MR_Sum,Num of Conju-All-Atoms,Conju_PEOE-Charge_Max,Fun_LogP_Sum,EState_VSA10,SMR_VSA9,Conju_LogP_Max,PEOE_VSA12,NumSaturatedRings,Conju_MR_Sum,Octopole Moment,VSA_EState8,Conju_LogP_Min,SlogP_VSA10,PEOE_VSA14,MolLogP,Mid-Fun_LogP_Delta,Arylchloride,MaxAbsEStateIndex,NumAliphaticRings,Length/Diameter,Conju_LogP_Mean,EState_VSA2,NumRotatableBonds,SlogP_VSA7,MaxAbsPartialCharge,Secondary_arom_amine,Fun_LogP_Min,Thioacetal,EState_VSA6,Atom1_ALIE Min value,SlogP_VSA6,Mid-Fun_MR_Delta,EState_VSA5,Sulfon,HOMO,Primary_arom_amine,Alkene,c1ccc2sc_n+_c2c1,Nitro,c1ccc2occcc2c1,Lactone,Farthest Distance,Oxoarene,Conju_PEOE-Charge_Delta,c1ccsc1,Conju_PEOE-Charge_Std
108.121,0.0,34.0375,7,-0.125967804,0.2314,4.794537184,0.0,0.6122,0.0,0,28.2835,141.3395,1.443818027,0.6122,0.0,7.118392334,-0.3695,0.3808,0,10.72845522,0,0.969130198,0.6122,5.783244946,2,0.0,0.498581872,0,-0.3808,0,6.066367068,9.858382,12.13273414,5.754,12.99010427,0,-0.256346,0,0,0,0,0,0,8.294,0,0.0,1,0.0
160.015,0.0,32.019,6,-4.16e-17,2.5106,0.0,0.0,2.5106,0.0,0,32.019,49.2643,0.0,2.5106,0.0,0.0,2.5106,0.0,0,3.299768519,0,0.996192289,2.5106,0.0,0,0.0,0.136847148,0,0.8456,0,11.33678588,9.734129,21.29921213,0.0,3.786415218,0,-0.237867,0,0,0,0,0,0,5.355,0,0.0,1,0.0
44.009,0.0,16.6218,3,-0.123181866,-0.0417,4.794537184,0.0,-0.4222,0.0,0,7.6358,27.9638,0.0,-0.4222,0.0,5.969305288,0.0008,0.8027,0,9.291666667,0,1.064686857,-0.4222,5.752853607,1,0.0,0.480629757,0,-0.4222,0,0.0,8.768344,0.0,1.3502,0.0,0,-0.263323,0,0,0,0,0,0,4.083,0,0.0,0,0.0
44.009,0.259400983,30.4536,6,-0.133720011,0.452,9.589074368,0.0,-0.4222,0.0,0,15.2716,596.5079,0.0,-0.4222,0.0,11.93861058,1.3172,1.7186,0,10.02351676,0,0.998691742,-0.4222,12.84164325,7,0.0,0.481208096,0,-0.4222,0,0.0,8.509234,0.0,7.5462,21.58779595,0,-0.240901,0,0,0,0,0,0,9.19,0,0.0,0,0.0
24.022,3.793981481,20.394,4,-0.019289255,1.3584,0.0,0.0,0.6792,0.0,0,20.394,67.3,7.154722222,0.6792,0.0,0.0,2.0916,0.0,0,3.577361111,0,1.0,0.6792,0.0,4,0.0,0.153720184,0,0.6792,0,0.0,7.853093,25.30991158,0.0,0.0,0,-0.22645,0,2,0,0,0,0,9.166,0,2.08e-17,0,1.04e-17
126.116,0.0,29.0733,8,-1.67e-16,0.8413,4.794537184,0.0,0.8413,0.0,0,29.0733,106.2518,0.0,0.8413,0.0,5.969305288,0.8413,0.0,0,10.0062037,0,0.959053794,0.8413,5.693927995,1,0.0,0.476487466,0,-0.1567,0,0.0,10.455429,10.89060204,0.0,22.22738792,0,-0.274116,0,0,0,0,0,0,5.608,0,0.0,0,0.0
296.284,0.0,80.3006,20,-9.71e-17,3.3274,9.589074368,11.12690298,3.3274,0.0,0,80.3006,450.9497,0.0,3.3274,0.0,11.93861058,3.3274,1.8204,0,10.91692787,0,0.995581237,3.3274,11.12690298,3,0.0,0.477610053,0,-0.1567,0,24.26546827,8.927329,46.18916936,32.293,12.13273414,0,-0.235657,0,0,0,0,0,0,11.671,0,0.0,0,0.0
153.593,0.0,43.1164,9,-9.71e-17,2.2109,0.0,0.0,2.2109,0.0,0,43.1164,76.0284,0.0,2.2109,5.687386275,0.0,2.2109,1.2881,1,5.602993827,0,1.02759267,2.2109,0.0,0,5.022633314,0.397786573,0,-0.5986,0,18.19910121,8.619411,23.09458468,14.839,0.0,0,-0.212777,1,0,0,0,0,0,6.653,0,0.0,0,0.0
148.142,0.0,40.6533,10,-4.16e-17,1.6735,4.794537184,0.0,1.6735,0.0,0,40.6533,214.4718,0.0,1.6735,0.0,5.969305288,1.6735,0.5372,0,10.28728269,0,1.008188536,1.6735,5.563451492,1,0.0,0.477639243,0,-0.1567,0,12.13273414,8.820826,29.16095175,8.986,12.13273414,0,-0.236027,0,0,0,0,0,0,7.294,0,0.0,0,0.0
204.213,0.0,67.1606,15,0.437075827,1.6838,8.417796984,0.0,2.3516,9.837253136,0,65.6058,464.3061,0.0,2.3516,11.37477255,0.0,1.6838,2.3742,0,12.17476379,0,1.016940789,2.3516,9.790966951,2,0.0,0.398727729,0,-0.6702,0,24.26546827,12.923427,58.3219035,28.5354,24.26546827,1,-0.211209,2,0,0,0,0,0,9.761,0,0.0,0,0.0
74.062,3.569382716,32.325,6,-0.030644618,1.317,0.0,0.0,0.9365,0.0,0,23.339,111.3044,0.0,0.9365,0.0,0.0,1.5114,0.556,0,4.070123457,0,0.999353448,0.9365,0.0,1,0.0,0.26441694,0,0.3805,0,6.196843572,8.201926,24.52642128,14.353,0.0,0,-0.2435,0,0,0,0,0,0,6.28,0,0.0,0,0.0
