Conju-Part-Wt (Max-Conju),Long/Sum Size Ratio,Atom1_ESP Maximal value (kcal/mol),VSA_EState7,SlogP_VSA4,Atom1_ESP Pi (kcal/mol),Conju_LogP_Min,Mid-Fun_PEOE-Charge_Sum,Molecular Size Long,Max Conju-Distance (Max-Conju),PEOE_VSA12,NOCount,Farthest Distance,ALIE Minimal Value,NumRotatableBonds,SlogP_VSA10,Molecular Radius,PEOE_VSA11,c1nc_nH_n1,Conju_LogP_Mean,TPSA,Num of Conju-All-Atoms,Disulfide,Kappa3,Conju_LogP_Max,c1ccc2occcc2c1,Arylbromide,Kappa2,Sulfonic_derivative,Secondary_arom_amine,Primary_arom_amine,NHOHCount,VSA_EState8,Nitro
108.121,0.491617539,90.133446,0.0,0.0,13.207422,0.6122,0.743654984,10.674,4,0.0,3,8.294,9.85838,2,0.0,5.507,5.783244946,0,0.6122,57.53,7,0,1.891911489,0.6122,0,0,3.169016281,0,0,0,2,1.443818027,0
160.015,0.449793155,69.205496,0.0,0.0,12.774025,2.5106,-4.16e-17,8.372,3,0.0,0,5.355,9.73413,0,0.0,4.202,0.0,0,2.5106,0.0,6,0,0.819939169,2.5106,0,1,1.755631784,0,0,0,0,0.0,0
44.009,0.399801259,74.758819,0.0,0.0,14.830128,-0.4222,-0.187916308,7.242,2,0.0,2,4.083,8.76834,1,0.0,3.401,0.0,0,-0.4222,37.3,3,0,3.82,-0.4222,0,0,2.081780105,0,0,0,1,0.0,0
44.009,0.483167847,78.529901,0.259400983,0.0,15.026383,-0.4222,-0.454553854,12.214,2,0.0,4,9.19,8.50923,7,0.0,6.115,0.0,0,-0.4222,74.6,6,1,9.64,-0.4222,0,0,7.297762662,0,0,0,2,0.0,0
24.022,0.527381332,31.06932,3.793981481,0.0,14.378481,0.6792,-0.038578509,11.566,1,0.0,0,9.166,7.85309,4,0.0,5.783,0.0,0,0.6792,0.0,4,0,5.83,0.6792,0,0,5.83,0,0,0,0,7.154722222,0
126.116,0.440419079,94.290084,0.0,0.0,12.069507,0.8413,-1.67e-16,7.987,4,0.0,3,5.608,9.8263,1,0.0,4.164,5.693927995,0,0.8413,50.19,8,0,0.840417606,0.8413,0,0,1.915964256,0,0,0,1,0.0,0
296.284,0.519787045,84.790433,0.0,0.0,14.171186,3.3274,0.502447383,14.645,11,0.0,4,11.671,8.72226,3,0.0,7.355,0.0,0,3.3274,74.6,20,0,2.809025423,3.3274,0,0,5.601002265,0,0,0,2,0.0,0
153.593,0.463812388,59.184793,0.0,0.0,12.949498,2.2109,0.40581713,9.869,5,0.0,1,6.653,8.61941,0,5.687386275,4.802,0.0,0,2.2109,26.02,9,0,1.531067087,2.2109,0,0,2.499079817,0,0,1,2,0.0,0
148.142,0.493137303,69.520024,0.0,0.0,14.260345,1.6735,0.127761419,10.096,6,0.0,2,7.294,8.82083,1,0.0,5.007,0.0,0,1.6735,37.3,10,0,1.510397832,1.6735,0,0,2.748833236,0,0,0,1,0.0,0
204.213,0.461366265,63.15452,0.0,0.0,21.720345,2.3516,0.17258213,12.366,10,9.837253136,4,9.761,9.00722,2,11.37477255,6.08,0.0,0,2.3516,86.18,15,0,2.236161414,2.3516,0,0,4.101809822,0,0,2,4,0.0,0
74.062,0.437205355,53.967123,3.569382716,0.0,14.522093,0.9365,-0.102577104,9.274,3,0.0,1,6.28,8.20193,1,0.0,4.64,0.0,0,0.9365,12.89,6,0,1.234072022,0.9365,0,0,2.721453287,0,0,0,0,0.0,0
