Fun_LogP_Mean,VSA_EState6,Mid-Fun_PEOE-Charge_Sum,VSA_EState7,AtomWt Conju-All Ratio,Product of sigma^2_tot and nu ((kcal/mol)^2),Conju_LogP_Sum,SlogP_VSA4,Arylchloride,Length/Diameter,NumSaturatedHeterocycles,Atom_MR_Mean,SMR_VSA7,ALIE Average Value,VSA_EState8,EState_VSA10,Alkene,Arylfluoride,SlogP_VSA7,MaxAbsPartialCharge,HOMO-LUMO Gap,Sulfonic_derivative,Mid-Fun_PEOE-Charge_Mean,PEOE_VSA12,EState_VSA5,PEOE_VSA4,Mid-Fun_PEOE-Charge_Max,Conju_MR_Std,SMR_VSA9,c1ccc2sc_n+_c2c1,PEOE_VSA11,Mid-Fun_MR_Std,NumSaturatedRings,Secondary_arom_amine,ALIE Maximal Value,ALIE Minimal Value,SlogP_VSA10,Kappa2,NumAliphaticCarbocycles,Conju_PEOE-Charge_Std,Atom_PEOE-Charge_Mean,Alkylfluoride,Thioacetal,c1ccc2scnc2c1,PEOE_VSA13,SlogP_VSA6,NumSaturatedCarbocycles,Atom_PEOE-Charge_Sum,c1nc_nH_n1,Trifluoromethyl,c1c_nH_cn1,c1cc_nH_c1,c1ccc2_nH_ccc2c1,c1ccc2cc3ccccc3cc2c1,Conju_PEOE-Charge_Delta,c1cn_nH_c1,c1cc2ccc(ccnccc3ccc(ccn1)_nH_3)_nH_2,c1nnn_nH_1,Mid-Fun_LogP_Std,Atom_PEOE-Charge_Delta,Alcohol,c1ccc2ncccc2c1,Dipole Moment (a.u.),ESP Maximal Value,NumAliphaticHeterocycles,EState_VSA1
0.077133333,3.118888889,0.743654984,0.0,0.636013365,207.01538,0.6122,0.0,0,0.969130198,0,2.452727778,17.00988133,12.68366,1.443818027,4.794537184,0,0,0.0,0.498581872,0.174695,0,0.247884995,0.0,12.99010427,0.0,0.497041518,0.0,0.0,0,5.783244946,2.59747481,0,0,17.17079,9.85838,0.0,3.169016281,0,0.0,9.25e-18,0,0,0,0.0,12.13273414,0,1.67e-16,0,0,0,0,0,0,0.0,0,0,0,0.155907009,0.921207337,0,0,0.337139,150.89547,0,7.118392334
1.2553,4.027199074,-4.16e-17,0.0,0.981452291,2.82346,2.5106,0.0,0,0.996192289,0,3.557666667,21.29921213,11.6596,0.0,0.0,0,0,0.0,0.136847148,0.20826,0,-4.16e-17,0.0,3.786415218,0.0,-4.16e-17,0.0,0.0,0,0.0,0.0,0,0,15.45636,9.73413,0.0,1.755631784,0,0.0,-4.63e-18,0,0,0,0.0,21.29921213,0,-4.16e-17,0,0,0,0,0,0,0.0,0,0,0,0.0,0.210855974,0,0,0.92845,82.36376,0,0.0
-0.02085,0.0,-0.187916308,0.0,0.477740748,243.04331,-0.4222,0.0,0,1.064686857,0,2.387644444,0.0,12.81984,0.0,4.794537184,0,0,0.0,0.480629757,0.250731,0,-0.093958154,0.0,0.0,12.62878915,-0.064734442,0.0,0.0,0,0.0,0.6751,0,0,18.01576,8.76834,0.0,2.081780105,0,0.0,3.08e-18,0,0,0,0.0,0.0,0,2.78e-17,0,0,0,0,0,0,0.0,0,0,0,0.40135,0.793296111,0,0,1.649208,133.71732,0,5.969305288
0.150666667,0.0,-0.454553854,0.259400983,0.418583195,287.42311,-0.8444,0.0,0,0.998691742,0,2.246436364,0.0,12.73145,0.0,9.589074368,0,0,0.0,0.481208096,0.205044,0,-0.151517951,0.0,21.58779595,0.0,-0.133720011,0.0,0.0,0,0.0,3.557312795,0,0,17.87384,8.50923,0.0,7.297762662,0,0.0,-1.01e-17,0,0,0,0.0,0.0,0,-2.22e-16,0,0,0,0,0,0,0.0,0,0,0,0.810155809,0.784901057,0,0,3.472948,174.27867,0,11.93861058
0.6792,0.0,-0.038578509,3.793981481,0.42065264,70.4014,1.3584,0.0,0,1.0,0,2.218764706,25.30991158,11.8634,7.154722222,0.0,2,0,0.0,0.153720184,0.21088,0,-0.019289255,0.0,0.0,11.76188495,-0.019289255,0.0,0.0,0,0.0,0.0,0,0,15.15203,7.85309,0.0,5.83,0,1.04e-17,4.08e-19,0,0,0,0.0,25.30991158,0,6.94e-18,0,0,0,0,0,0,2.08e-17,0,0,0,0.0,0.211582501,0,0,1.01403,64.188,0,0.0
0.42065,0.0,-1.67e-16,0.0,0.976583553,242.17351,0.8413,0.0,0,0.959053794,0,2.643027273,16.58453004,12.87434,0.0,4.794537184,0,0,0.0,0.476487466,0.211919,0,-1.67e-16,0.0,22.22738792,0.0,-1.67e-16,0.0,0.0,0,5.693927995,0.0,0,0,17.87007,9.8263,0.0,1.915964256,0,0.0,-1.51e-17,0,0,0,0.0,10.89060204,0,-1.67e-16,0,0,0,0,0,0,0.0,0,0,0,0.0,0.83133347,0,0,2.716265,129.49867,0,5.969305288
0.554566667,9.454401927,0.502447383,0.0,0.967097962,255.24387,3.3274,0.0,0,0.995581237,0,2.676686667,47.52510539,12.57308,0.0,9.589074368,0,0,0.0,0.477610053,0.155697,0,0.08374123,0.0,12.13273414,0.0,0.125611846,0.0,11.12690298,0,0.0,14.96412527,0,0,18.10909,8.72226,0.0,5.601002265,0,0.0,-6.94e-18,0,0,0,0.0,46.18916936,0,-2.08e-16,0,0,0,0,0,0,0.0,0,0,0,0.763692946,0.813912812,0,0,2.741187,172.01818,0,11.93861058
0.552725,5.185432099,0.40581713,0.0,0.962114996,71.63979,2.2109,0.0,1,1.02759267,0,2.874426667,23.22173452,12.06114,0.0,0.0,0,0,5.022633314,0.397786573,0.189592,0,0.101454282,0.0,0.0,0.0,0.169546944,0.0,0.0,0,0.0,5.864961866,0,0,16.86975,8.61941,5.687386275,2.499079817,0,0.0,-6.48e-18,0,0,0,0.0,23.09458468,0,-9.71e-17,0,0,0,0,0,0,0.0,0,0,0,0.494598944,0.554050259,0,0,1.124703,117.17831,0,0.0
0.557833333,6.327839506,0.127761419,0.0,0.960775666,328.61431,1.6735,0.0,0,1.008188536,0,2.54083125,29.82891977,12.49065,0.0,4.794537184,0,0,0.0,0.477639243,0.17722,0,0.04258714,0.0,12.13273414,0.0,0.092233376,0.0,0.0,0,0.0,3.996655866,0,0,17.9087,8.82083,0.0,2.748833236,0,0.0,-6.94e-18,0,0,0,0.0,29.16095175,0,-1.11e-16,0,0,0,0,0,0,0.0,0,0,0,0.225565704,0.812801407,0,0,2.844517,164.11116,0,5.969305288
0.33676,12.18733434,0.17258213,0.0,0.822421438,432.51002,2.3516,0.0,0,1.016940789,0,2.315882759,48.53093655,12.5434,0.0,8.417796984,0,0,0.0,0.398727729,0.171432,0,0.034516426,9.837253136,24.26546827,0.0,0.17258213,0.0,0.0,0,0.0,10.42369025,0,0,17.04512,9.00722,11.37477255,4.101809822,0,0.0,-7.66e-18,0,0,0,0.0,58.3219035,0,-2.22e-16,0,0,0,0,0,0,0.0,0,0,0,0.868966177,0.604807057,0,0,5.686859,125.57401,0,9.837253136
