Conju-Strut Wiener Index (Max-Conju),NumAromaticRings,Fun_PEOE-Charge_Mean,Full-Mol Wiener Index,Conju_PEOE-Charge_Max,Mid-Fun_LogP_Delta,Chi2v,PEOE_VSA9,Atom_MR_Max,Occupied Orbitals,Atom1_ALIE Min value,PEOE_VSA1,Alcohol,ExactMolWt,Conju_LogP_Std,Atom_LogP_Max,Mid-Fun_PEOE-Charge_Mean,VSA_EState8,LUMO,Conju_PEOE-Charge_Min,Althoxyl,Sulfon,Num of Conju-Strut,VSA_EState3,LabuteASA,Conju_MR_Std,Nitro,Conju_MR_Delta,Arylchloride,Primary_arom_amine,Conju_PEOE-Charge_Mean,Conju_PEOE-Charge_Delta,HeavyAtomMolWt,Arylfluoride,MaxAbsPartialCharge,Conju_PEOE-Charge_Sum,c1ccc2sc_n+_c2c1,MolWt,c1nc_nH_n1,Chi2n,SlogP_VSA7,VSA_EState9,Chi0v,Mid-Fun_PEOE-Charge_Max,Fun_PEOE-Charge_Sum,Octopole Moment,NumAliphaticCarbocycles,Conju_PEOE-Charge_Std,ALIE Average Value,PEOE_VSA6,Max Conju-Distance (Max-Conju),PEOE_VSA4,Amide,Sulfonic_derivative,c1c_nH_cn1,Conju_LogP_Delta,NumHDonors,Tri_boron,c1cc_nH_c1,c1ccc2_nH_ccc2c1,c1ccc2cc3ccccc3cc2c1,Atom_PEOE-Charge_Sum,c1cn_nH_c1,Mid-Fun_PEOE-Charge_Sum,c1cc2ccc(ccnccc3ccc(ccn1)_nH_3)_nH_2,c1nnn_nH_1,c1ccc2ncccc2c1,c1nncs1,Alkylchloride,Alkylbromide,Atom_LogP_Delta,Tertiary_aliph_amine,Aldehyde,Oxime,Acetal,Hemiacetal,Chloroalkene,Molecule Weight,Bromoalkene,Enol,Carboxylic_ester,Atom_PEOE-Charge_Mean,Nitrile,Aryliodide,Azo,Alkene,LEAE Minimal Value,Quadrupole Moment,NumHAcceptors,PEOE_VSA3,Lactam,Atom1_ESP Pi (kcal/mol)
1.023809524,1,0.124193757,1.427272727,-0.125967804,0.3808,3.247225336,4.877147194,6.691,44,9.858382,10.04804515,0,170.0208955,0.0,0.6237,0.247884995,1.443818027,-0.081651,-0.125967804,0,0,1,17.34698602,68.44424424,0.0,0,0.0,0,0,-0.125967804,0.0,162.942,0,0.498581872,-0.125967804,0,169.998,0,2.131870265,0.0,-1.464722222,6.75947116,0.497041518,0.37258127,141.3395,0,0.0,12.68366,6.066367068,4,0.0,0,0,0,0.0,2,1,0,0,0,1.67e-16,0,0.743654984,0,0,0,0,0,0,1.168,0,0,0,0,0,0,169.99403,0,0,0,9.25e-18,0,0,0,0,-1.40778,34.886975,4,0.0,0,13.207422
0.866666667,1,-2.78e-17,0.866666667,-4.16e-17,0.0,3.244094126,3.786415218,8.927,39,9.734129,0.0,0,161.9138832,0.0,0.8456,-4.16e-17,0.0,-0.029607,-4.16e-17,0,0,1,2.031828704,48.939314,0.0,0,0.0,0,0,-4.16e-17,0.0,160.015,0,0.136847148,-4.16e-17,0,163.039,0,0.9171624,0.0,0.0,5.420756691,-4.16e-17,-5.55e-17,49.2643,0,0.0,11.6596,6.066367068,3,0.0,0,0,0,0.0,0,0,0,0,0,-4.16e-17,0,-4.16e-17,0,0,0,0,0,0,0.7226,0,0,0,0,0,0,163.03508,0,0,0,-4.63e-18,0,0,0,0,-0.96253,8.092726,1,0.0,0,12.774025
0.666666667,0,-0.093958154,0.9,-0.123181866,0.8027,0.868080192,5.752853607,7.591,24,8.768344,5.106527395,0,91.99320037,0.0,0.6482,-0.093958154,0.0,-0.012591,-0.123181866,0,0,1,7.645833333,35.21501566,0.0,0,0.0,0,0,-0.123181866,0.0,88.087,0,0.480629757,-0.123181866,0,92.119,0,0.551852426,0.0,0.0,3.404209454,-0.064734442,-0.187916308,27.9638,0,0.0,12.81984,0.0,2,12.62878915,0,0,0,0.0,2,0,0,0,0,2.78e-17,0,-0.187916308,0,0,0,0,0,0,0.9375,0,0,0,0,0,0,92.11683,0,0,0,3.08e-18,0,0,0,0,-0.52952,13.256542,2,0.0,0,14.830128
0.666666667,0,-0.151517951,2.03030303,-0.133720011,1.7186,4.633542301,12.84164325,7.591,55,8.509234,10.21305479,0,210.0020508,0.0,0.6482,-0.151517951,0.0,-0.035858,-0.133720011,0,0,2,16.48305361,78.12165544,0.0,0,0.0,0,0,-0.133720011,0.0,200.196,0,0.481208096,-0.26744002099999997,0,210.276,0,1.931427637,0.0,2.79212963,7.988840639,-0.133720011,-0.454553854,596.5079,0,0.0,12.73145,21.58779595,2,0.0,0,0,0,0.0,2,0,0,0,0,-2.22e-16,0,-0.454553854,0,0,0,0,0,0,0.9375,0,0,0,0,0,0,210.27102,0,0,0,-1.01e-17,0,0,0,0,-1.14885,24.427989,4,0.0,0,15.026383
0.5,0,-0.019289255,1.333333333,-0.019289255,0.0,2.189722705,0.0,7.591,31,7.853093,0.0,0,114.0503213,0.0,0.6482,-0.019289255,7.154722222,-0.01557,-0.019289255,0,0,2,0.0,49.30786556,0.0,0,0.0,0,0,-0.019289255,2.08e-17,104.133,0,0.153720184,-0.038578509,0,114.213,0,1.114807748,0.0,0.0,5.207872535,-0.019289255,-0.038578509,67.3,0,1.04e-17,11.8634,12.15204021,1,11.76188495,0,0,0,0.0,0,0,0,0,0,6.94e-18,0,-0.038578509,0,0,0,0,0,0,0.8517,0,0,0,0,0,0,114.20861,0,0,0,4.08e-19,0,0,0,2,-0.25929,5.110897,1,0.0,0,14.378481
1.107142857,1,-9.71e-17,1.107142857,-1.67e-16,0.0,1.897521867,5.510539274,6.691,33,10.455429,5.106527395,0,128.9884493,0.0,0.6237,-1.67e-16,0.0,-0.062197,-1.67e-16,0,0,1,9.706296296,49.61211234,0.0,0,0.0,0,0,-1.67e-16,0.0,126.116,0,0.476487466,-1.67e-16,0,129.14,0,1.178835569,0.0,0.0,4.682120891,-1.67e-16,-1.94e-16,106.2518,0,0.0,12.87434,0.0,4,0.0,0,0,0,0.0,1,0,0,0,0,-1.67e-16,0,-1.67e-16,0,0,0,0,0,0,0.9476,0,0,0,0,0,0,129.13707,0,0,0,-1.51e-17,0,0,0,0,-1.2783,9.432182,3,9.778515705,0,12.069507
2.231578947,2,-2.78e-17,2.231578947,-9.71e-17,1.8204,5.037772999,11.12690298,7.591,79,8.927329,10.21305479,0,306.0020508,0.0,0.6482,0.08374123,0.0,-0.07996,-9.71e-17,0,0,1,17.88462778,125.4400266,0.0,0,0.0,0,0,-9.71e-17,0.0,296.284,0,0.477610053,-9.71e-17,0,306.364,0,4.074161624,0.0,0.0,11.85830696,0.125611846,-1.67e-16,450.9497,0,0.0,12.57308,12.13273414,11,0.0,0,0,0,0.0,4,0,0,0,0,-2.08e-16,0,0.502447383,0,0,0,0,0,0,0.9375,0,0,0,0,0,0,306.3569,0,0,0,-6.94e-18,0,0,0,0,-1.20712,72.448122,4,9.589074368,0,14.171186
1.166666667,1,-3.47e-18,1.166666667,-9.71e-17,1.2881,2.621379138,0.0,7.591,41,8.619411,5.733667477,0,158.9909479,0.0,0.6895,0.101454282,0.0,-0.023185,-9.71e-17,0,0,1,0.643796296,64.22962671,0.0,0,0.0,1,1,-9.71e-17,0.0,153.593,0,0.397786573,-9.71e-17,0,159.641,0,1.70313767,5.022633314,0.0,6.284935282,0.169546944,-1.39e-17,76.0284,0,0.0,12.06114,11.60093989,5,0.0,0,0,0,0.0,2,0,0,0,0,-9.71e-17,0,0.40581713,0,0,0,0,0,0,1.7165,0,0,0,0,0,0,159.63649,0,0,0,-6.48e-18,0,0,0,0,-0.39929,17.781356,2,0.0,0,12.949498
1.333333333,1,-5.09e-17,1.333333333,-4.16e-17,0.5372,2.368424368,5.563451492,7.591,40,8.820826,5.106527395,0,154.0088504,0.0,0.6482,0.04258714,0.0,-0.058807,-4.16e-17,0,0,1,8.450763416,63.90716775,0.0,0,0.0,0,0,-4.16e-17,0.0,148.142,0,0.477639243,-4.16e-17,0,154.19,0,1.852026589,0.0,0.0,6.006503749,0.092233376,-1.53e-16,214.4718,0,0.0,12.49065,0.0,6,0.0,0,0,0,0.0,2,0,0,0,0,-1.11e-16,0,0.127761419,0,0,0,0,0,0,0.9375,0,0,0,0,0,0,154.18639,0,0,0,-6.94e-18,0,0,0,0,-1.08161,21.801401,2,4.794537184,0,14.260345
1.923809524,2,-4.44e-17,1.897058824,0.437075827,2.3742,5.591190592,9.790966951,7.365,65,12.923427,11.46733495,0,248.0619486,0.0,0.4619,0.034516426,0.0,-0.039777,0.437075827,0,1,1,0.0,99.7936771,0.0,0,0.0,0,2,0.437075827,0.0,236.211,0,0.398727729,0.437075827,0,248.307,0,3.641507975,0.0,-3.483611111,9.814744144,0.17258213,-2.22e-16,464.3061,0,0.0,12.5434,0.0,10,0.0,0,0,0,0.0,2,0,0,0,0,-2.22e-16,0,0.17258213,0,0,0,0,0,0,1.4889,0,0,0,0,0,0,248.30112,0,0,0,-7.66e-18,0,0,0,0,-0.4899,26.743369,4,8.417796984,0,21.720345
0.9,1,-0.051288552,1.142857143,-0.030644618,0.556,1.835615204,0.0,7.591,33,8.201926,0.0,0,125.0299202,0.0,0.6482,-0.051288552,0.0,-0.03642,-0.030644618,0,0,1,0.0,54.17105988,0.0,0,0.0,0,0,-0.030644618,0.0,118.14,0,0.26441694,-0.030644618,0,125.196,0,1.519387438,0.0,0.0,5.30536224,-0.030644618,-0.102577104,111.3044,0,0.0,11.96444,6.066367068,3,12.62878915,0,0,0,0.0,1,0,0,0,0,6.94e-17,0,-0.102577104,0,0,0,0,0,0,0.9721,0,0,0,0,0,0,125.19149,0,0,0,4.63e-18,0,0,0,0,-0.77813,13.764713,2,0.0,0,14.522093
2.578947368,2,-0.01365631,2.578947368,-8.33e-17,2.2978,5.717081406,11.12690298,7.591,79,9.284788,10.21305479,0,307.9925487,0.0,0.6482,0.042960122,0.0,-0.069216,-8.33e-17,0,0,1,18.7743059,121.2153714,0.0,0,0.0,0,0,-8.33e-17,0.0,300.276,0,0.477598624,-8.33e-17,0,308.34,0,3.54719518,0.0,2.621776266,11.51894232,0.181087127,-0.122906793,734.6705,0,0.0,12.70287,0.0,13,0.0,0,0,0,0.0,2,0,0,0,0,-1.94e-16,0,0.300720857,0,0,0,0,0,0,0.9721,0,0,0,0,0,0,308.33296,0,0,0,-6.94e-18,0,0,0,0,-1.57883,71.84687,6,19.55703141,0,15.788872
2.231578947,2,-0.020020705,2.231578947,2.08e-16,3.3446,5.829321769,19.63758905,7.591,79,9.0124,0.0,0,307.9925487,0.0,0.6482,0.246051832,0.0,-0.107055,2.08e-16,0,0,1,21.76597411,121.4406309,0.0,2,0.0,0,0,2.08e-16,0.0,300.276,0,0.28324563,2.08e-16,0,308.34,0,3.616335625,0.0,2.261203704,11.59571225,0.906227996,-0.180186341,196.6765,0,0.0,12.71757,24.26546827,9,0.0,0,0,0,0.0,0,0,0,0,0,1.53e-16,0,1.722362822,0,0,0,0,0,0,0.9878,0,0,0,0,0,0,308.33296,0,0,0,5.45e-18,0,0,0,0,-1.68468,50.94321,6,0.0,0,14.204405
