Mid-Fun_MR_Sum,Iaverage / mA cm-2,VSA_EState6,Density (g/cm^3),ALIE Variance,Long/Sum Size Ratio,Fun_PEOE-Charge_Mean,PEOE_VSA3,Mid-Fun_LogP_Sum,PEOE_VSA14,Mid-Fun_PEOE-Charge_Sum,Sulfon,Conju_LogP_Min,EState_VSA4,PEOE_VSA7,ODI HOMO-1,VSA_EState8,Tertiary_arom_amine,Arylfluoride,Atom_MR_Delta,Conju_PEOE-Charge_Max,Conju_PEOE-Charge_Min,Conju_PEOE-Charge_Mean,Mid-Fun_PEOE-Charge_Mean,Octopole Moment,EState_VSA1,Fun_LogP_Mean,PEOE_VSA4,Carboxylic_acid,Atom_LogP_Mean,Mid-Fun_PEOE-Charge_Max,Conju_PEOE-Charge_Sum,Conju_LogP_Mean,PEOE_VSA11,Alkene,Atom1_ALIE Min value,Conju_MR_Std,EState_VSA6,SlogP_VSA4,Primary_arom_amine,Mid-Fun_LogP_Max
91.13,142.3333333,3.118888889,2.952,2.07005,0.491617539,0.124193757,0.0,1.2404,7.118392334,0.743654984,0,0.6122,11.33678588,12.99010427,11.37,1.443818027,0,0,6.4695,-0.125967804,-0.125967804,-0.125967804,0.247884995,141.3395,7.118392334,0.077133333,0.0,0,-0.020527778,0.497041518,-0.125967804,0.6122,5.783244946,0,9.858382,0.0,6.066367068,0.0,0,0.6122
32.019,133.0,4.027199074,4.2813,1.76789,0.449793155,-2.78e-17,0.0,2.5106,0.0,-4.16e-17,0,2.5106,0.0,27.37637374,37.38,0.0,0,0,7.87,-4.16e-17,-4.16e-17,-4.16e-17,-4.16e-17,49.2643,0.0,1.2553,0.0,0,0.278955556,-4.16e-17,-4.16e-17,2.5106,0.0,0,9.734129,0.0,11.33678588,0.0,0,2.5106
16.6218,134.6666667,0.0,3.1136,3.09355,0.399801259,-0.093958154,0.0,-0.0417,5.969305288,-0.187916308,0,-0.4222,0.0,0.0,31.65,0.0,0,0,7.591,-0.123181866,-0.123181866,-0.123181866,-0.093958154,27.9638,5.969305288,-0.02085,12.62878915,1,8.89e-05,-0.064734442,-0.123181866,-0.4222,0.0,0,8.768344,0.0,0.0,0.0,0,0.3805
30.4536,107.3333333,0.0,3.0179,3.15466,0.483167847,-0.151517951,0.0,0.452,11.93861058,-0.454553854,0,-0.4222,0.0,0.0,24.5,0.0,0,0,7.591,-0.133720011,-0.133720011,-0.133720011,-0.151517951,596.5079,11.93861058,0.150666667,0.0,2,0.059872727,-0.133720011,-0.26744002099999997,-0.4222,0.0,0,8.509234,0.0,0.0,0.0,0,1.2964
20.394,88.0,0.0,2.4212,2.11599,0.527381332,-0.019289255,0.0,1.3584,0.0,-0.038578509,0,0.6792,11.50570721,0.0,12.6,7.154722222,0,0,6.534,-0.019289255,-0.019289255,-0.019289255,-0.019289255,67.3,0.0,0.6792,11.76188495,0,0.123035294,-0.019289255,-0.038578509,0.6792,0.0,2,7.853093,0.0,0.0,0.0,0,0.6792
29.0733,147.3333333,0.0,3.261,2.22528,0.440419079,-9.71e-17,9.778515705,0.8413,5.969305288,-1.67e-16,0,0.8413,0.0,0.0,19.38,0.0,0,0,6.4695,-1.67e-16,-1.67e-16,-1.67e-16,-1.67e-16,106.2518,5.969305288,0.42065,0.0,1,0.076481818,-1.67e-16,-1.67e-16,0.8413,5.693927995,0,10.455429,0.0,0.0,0.0,0,0.8413
253.8292,102.3333333,9.454401927,2.9899,2.60027,0.519787045,-2.78e-17,9.589074368,12.4144,11.93861058,0.502447383,0,3.3274,11.12690298,35.39237126,6.5,0.0,0,0,7.3695,-9.71e-17,-9.71e-17,-9.71e-17,0.08374123,450.9497,11.93861058,0.554566667,0.0,2,0.110913333,0.125611846,-9.71e-17,3.3274,0.0,0,8.927329,0.0,24.26546827,0.0,0,3.1036
133.2828,117.0,5.185432099,3.039,2.32783,0.463812388,-3.47e-18,0.0,7.9008,0.0,0.40581713,0,2.2109,4.895483476,18.19910121,13.97,0.0,0,0,6.6283,-9.71e-17,-9.71e-17,-9.71e-17,0.101454282,76.0284,0.0,0.552725,0.0,0,0.147393333,0.169546944,-9.71e-17,2.2109,0.0,0,8.619411,0.0,18.19910121,0.0,1,2.429
105.1166,80.33333333,6.327839506,2.9374,2.43825,0.493137303,-5.09e-17,4.794537184,4.7967,5.969305288,0.127761419,0,1.6735,4.895483476,24.26546827,15.25,0.0,0,0,7.3695,-4.16e-17,-4.16e-17,-4.16e-17,0.04258714,214.4718,5.969305288,0.557833333,0.0,1,0.10459375,0.092233376,-4.16e-17,1.6735,0.0,0,8.820826,0.0,12.13273414,0.0,0,1.8302
191.977,97.0,12.18733434,2.8405,2.14349,0.461366265,-4.44e-17,8.417796984,6.2486,0.0,0.17258213,1,2.3516,0.0,48.53093655,7.44,0.0,0,0,6.5876,0.437075827,0.437075827,0.437075827,0.034516426,464.3061,9.837253136,0.33676,0.0,0,0.058062069,0.17258213,0.437075827,2.3516,0.0,0,12.923427,0.0,24.26546827,0.0,2,2.881
32.325,118.6666667,3.908287037,2.7106,2.24212,0.437205355,-0.051288552,0.0,1.317,0.0,-0.102577104,0,0.9365,11.3163051,11.62981856,13.63,0.0,0,0,6.534,-0.030644618,-0.030644618,-0.030644618,-0.051288552,111.3044,0.0,0.6585,12.62878915,0,0.10076,-0.030644618,-0.030644618,0.9365,0.0,0,8.201926,0.0,6.196843572,0.0,0,0.9365
280.1792,95.0,6.150634248,3.1187,2.56539,0.48193955,-0.01365631,19.55703141,12.6128,11.93861058,0.300720857,0,2.6724,0.0,45.85326423,5.58,0.0,0,0,7.3695,-8.33e-17,-8.33e-17,-8.33e-17,0.042960122,734.6705,11.93861058,0.585022222,0.0,2,0.095442857,0.181087127,-8.33e-17,2.6724,0.0,0,9.284788,0.0,12.13273414,0.0,0,2.9858
298.8316,94.66666667,12.58333176,3.0868,2.26451,0.442524174,-0.020020705,0.0,19.5964,0.0,1.722362822,0,4.3024,21.58779595,33.72053009,11.65,0.0,0,0,7.3306,2.08e-16,2.08e-16,2.08e-16,0.246051832,196.6765,9.846622098,0.766133333,0.0,0,0.153657143,0.906227996,2.08e-16,4.3024,0.0,0,9.0124,0.0,36.39820241,20.22863654,0,4.8476
39.54,84.0,7.703518519,2.9157,1.85285,0.42256957,-0.034173969,0.0,2.5754,0.0,-0.102521907,0,2.1949,10.58608481,11.62981856,14.96,0.0,0,0,6.534,-0.030586193,-0.030586193,-0.030586193,-0.051260954,107.7112,0.0,0.858466667,12.62878915,0,0.1731125,-0.030586193,-0.030586193,2.1949,0.0,0,8.226418,0.0,0.0,0.0,0,2.1949
289.8636,85.66666667,15.63475466,2.7654,2.42764,0.411315759,-0.02235954,0.0,18.2924,0.0,0.240512771,0,3.6504,21.1657395,24.26546827,7.2,0.0,0,0,6.6283,0.0,0.0,0.0,0.034358967,40.9573,0.0,0.693688889,0.0,0,0.130371429,0.17056535,0.0,3.6504,0.0,0,8.60425,0.0,21.58779595,0.0,2,4.8476
34.53,97.0,10.17067901,2.5948,2.02032,0.443600095,-0.050467117,0.0,1.922,0.0,-0.100934235,0,1.5415,5.752853607,5.563451492,15.0,0.0,0,0,6.534,-0.028941286,-0.028941286,-0.028941286,-0.050467117,94.4402,0.0,0.961,12.62878915,0,0.132275,-0.028941286,-0.028941286,1.5415,0.0,0,8.141988,0.0,0.0,0.0,0,1.5415
125.5914,83.33333333,16.86175926,2.8187,1.27872,0.448515528,-1.85e-17,8.417796984,4.3686,0.0,-0.231007083,1,3.1872,0.0,24.26546827,7.59,0.0,0,0,6.5876,0.43707591,0.43707591,0.43707591,-0.077002361,172.0968,9.837253136,0.8398,0.0,0,0.100776,-2.78e-17,0.43707591,3.1872,0.0,0,13.951587,0.0,60.66367068,0.0,0,2.5194
144.378,96.0,20.83379063,2.7557,1.72176,0.449173537,-0.030035332,0.0,10.2684,0.0,-0.105123662,0,4.486,0.0,24.26546827,7.42,0.0,0,0,6.534,1.87e-16,1.87e-16,1.87e-16,-0.035041221,53.1116,0.0,1.011257143,0.0,0,0.186916667,1.87e-16,1.87e-16,4.486,0.0,0,8.610768,0.0,21.58779595,0.0,0,4.486
45.0538,131.6666667,7.768321523,3.5635,7.38231,0.379881527,0.399476354,4.794537184,1.079,5.969305288,0.519844731,0,-0.4222,10.21662063,6.066367068,13.12,0.031759259,0,0,6.691,0.574892792,-0.055048061,0.259922365,0.259922365,272.9509,5.969305288,0.93448,4.567099648,1,-0.0783,0.574892792,0.519844731,0.5395,0.0,0,10.493687,14.8911,15.90388553,0.0,0,1.5012
135.558,111.3333333,7.995462963,2.9003,1.81038,0.486640472,-0.029968491,0.0,7.8484,0.0,-0.10488972,0,3.276,0.0,24.26546827,7.7,0.0,0,0,6.534,-9.71e-17,-9.71e-17,-9.71e-17,-0.03496324,254.469,0.0,0.8384,0.0,0,0.148909091,-9.71e-17,-9.71e-17,3.276,0.0,0,9.342854,0.0,46.37517024,0.0,0,3.276
31.0568,150.3333333,3.66837963,2.9547,2.42272,0.440357575,-0.084344237,0.0,1.1808,5.969305288,-0.168688475,0,-0.4222,4.877147194,11.44642984,24.08,0.0,0,0,6.691,-0.040070805,-0.12861767,-0.084344237,-0.084344237,141.1088,5.969305288,0.5904,0.0,1,0.09168,-0.040070805,-0.168688475,0.5904,0.0,0,9.586983,7.8926,0.0,0.0,0,1.603
8.986,88.66666667,0.0,2.3692,1.84447,0.383275434,-0.073428046,0.0,0.3805,0.0,-0.073428046,0,0.0,5.24993803,12.84164325,25.37,0.0,0,0,6.534,0.0,0.0,0.0,-0.073428046,37.8531,0.0,0.3805,12.62878915,0,0.118363158,-0.073428046,0.0,0.0,0.0,0,8.00382,0.0,0.0,0.0,0,0.3805
2.17,94.66666667,0.0,3.3814,1.36428,0.390298464,-0.266000843,0.0,-0.1368,11.36131649,-0.532001686,0,0.0,0.0,0.0,34.76,0.929783951,0,0,6.5876,0.0,0.0,0.0,-0.266000843,31.6184,11.36131649,-0.0684,4.208898492,0,-0.03881,-0.266000843,0.0,0.0,0.0,0,11.255411,0.0,0.0,0.0,0,-0.0684
25.544,79.33333333,10.80927697,2.6611,2.41714,0.442475317,-0.013187509,0.0,1.5415,0.0,-0.013187509,0,1.5415,0.0,23.48998033,13.2,0.0,0,0,6.534,-0.013187509,-0.013187509,-0.013187509,-0.013187509,113.1504,0.0,1.5415,0.0,0,0.1481375,-0.013187509,-0.013187509,1.5415,0.0,0,8.000043,0.0,0.0,0.0,0,1.5415
15.182,80.0,0.0,2.3881,1.63416,0.456054271,-0.175297376,0.0,1.2964,0.0,-0.175297376,0,0.0,0.0,0.0,15.59,13.47861111,0,0,6.534,0.0,0.0,0.0,-0.175297376,20.1901,0.0,1.2964,0.0,0,0.1416,-0.175297376,0.0,0.0,0.0,0,8.169461,0.0,0.0,0.0,0,1.2964
8.986,92.66666667,0.0,2.0998,1.15875,0.424571634,-0.069697112,0.0,0.3805,0.0,-0.069697112,0,0.0,0.0,16.74788698,16.55,18.32766975,0,0,6.534,0.0,0.0,0.0,-0.069697112,94.9984,0.0,0.3805,12.62878915,0,0.112902564,-0.069697112,0.0,0.0,0.0,0,7.836179,0.0,0.0,16.74788698,0,0.3805
0.0,89.66666667,0.0,2.5158,4.70119,0.366774383,0.0,0.0,0.0,0.0,0.0,0,-0.2207,0.0,0.0,7.69,3.949074074,0,0,6.6283,-0.070027387,-0.070027387,-0.070027387,0.0,39.3642,0.0,0.0,0.0,0,0.0619,0.0,-0.070027387,-0.2207,0.0,0,7.38898,0.0,0.0,5.917906046,0,0.0
0.0,130.3333333,0.0,2.7505,6.55931,0.388292568,0.0,0.0,0.0,0.0,0.0,0,-0.2207,0.0,6.9237372,13.78,1.675925926,0,0,6.6283,-0.076853784,-0.076853784,-0.076853784,0.0,32.2548,0.0,0.0,0.0,0,0.032488889,0.0,-0.076853784,-0.2207,0.0,0,7.403043,0.0,6.9237372,0.0,0,0.0
17.972,96.0,0.0,2.5858,2.45944,0.38010111,-0.072549236,0.0,0.761,0.0,-0.145098471,0,0.0,0.0,0.0,19.52,4.057098765,0,0,6.534,0.0,0.0,0.0,-0.072549236,34.6807,0.0,0.3805,25.2575783,0,0.1014375,-0.072549236,0.0,0.0,0.0,0,8.050209,0.0,0.0,0.0,0,0.3805
140.786,103.0,17.27470165,2.6554,1.59972,0.448794621,-0.042643609,0.0,9.688,0.0,-0.281641578,0,4.1958,0.0,38.11294267,7.39,4.225321622,0,0,6.534,-0.088259299,-0.088259299,-0.088259299,-0.093880526,77.5775,0.0,0.9698,0.0,0,0.170094667,-0.088259299,-0.088259299,4.1958,0.0,0,8.544699,0.0,21.58779595,13.8474744,0,4.1958
36.9172,102.6666667,6.397638889,2.8862,1.79632,0.452429993,-0.022064852,13.55677072,0.1889,0.0,-0.044129705,0,1.4473,5.563451492,19.05647134,15.28,1.8818613,0,0,6.5876,0.321160919,0.321160919,0.321160919,-0.044129705,173.5453,10.02329115,0.09445,0.0,0,0.032121,-0.044129705,0.321160919,1.4473,0.0,0,14.074406,0.0,12.13273414,6.9237372,0,0.1889
22.5368,148.0,0.0,2.7422,1.84498,0.411276949,-0.163923163,4.983978521,0.2959,0.0,-0.305812528,0,0.8529,12.11474962,6.9237372,31.54,2.185046296,0,0,5.8672,-0.119855567,-0.119855567,-0.119855567,-0.152906264,123.8467,0.0,-0.087033333,0.0,0,0.054795556,-0.119855567,-0.119855567,0.8529,0.0,0,9.734648,0.0,16.84732515,6.9237372,0,0.8529
31.121,127.0,4.147569444,3.9481,1.69123,0.468170226,-0.02810744,0.0,2.3655,0.0,-0.056214879,0,2.3655,0.0,34.98641523,37.57,2.092685185,0,0,7.87,-0.056214879,-0.056214879,-0.056214879,-0.056214879,42.7008,0.0,1.18275,0.0,0,0.234918333,-0.056214879,-0.056214879,2.3655,0.0,0,9.606172,0.0,11.33678588,6.9237372,0,2.3655
23.4234,92.0,0.0,2.994,2.96418,0.466737797,-0.040570679,0.0,-0.0248,0.0,-0.081141357,0,-0.0248,5.007623697,6.9237372,30.74,1.869074074,0,0,5.7283,-0.081141357,-0.081141357,-0.081141357,-0.081141357,58.5297,0.0,-0.0124,0.0,0,0.035726667,-0.081141357,-0.081141357,-0.0248,0.0,0,9.817609,0.0,0.0,6.9237372,1,-0.0248
8.986,92.33333333,0.0,2.1451,1.2715,0.74827368,-0.077160952,0.0,0.3805,0.0,-0.077160952,0,0.0,5.752853607,12.17367523,36.06,2.292060923,0,0,6.534,0.0,0.0,0.0,-0.077160952,1147.4358,0.0,0.3805,12.62878915,0,0.125924561,-0.077160952,0.0,0.0,0.0,0,8.037036,0.0,0.0,0.0,0,0.3805
8.986,97.33333333,0.0,2.2285,1.52424,0.609954292,-0.077160952,0.0,0.3805,0.0,-0.077160952,0,0.0,5.752853607,12.17367523,36.03,2.248621863,0,0,6.534,0.0,0.0,0.0,-0.077160952,190.7342,0.0,0.3805,12.62878915,0,0.121359259,-0.077160952,0.0,0.0,0.0,0,8.037445,0.0,0.0,0.0,0,0.3805
270.9445,143.6666667,9.0420337,2.7374,1.46334,0.526644768,-0.04108179,4.794537184,10.1583,5.625586319,-0.130646108,0,2.8205,24.1631233,43.49300544,8.34,5.903674016,1,0,6.4695,-0.279729602,-0.279729602,-0.279729602,-0.021774351,420.561,5.625586319,0.604585714,11.33678588,0,0.0982925,0.337856354,-0.279729602,2.8205,0.0,0,9.808199,0.0,17.51279691,0.0,0,3.0875
8.986,127.0,0.0,2.4967,2.21102,0.422791597,-0.077459777,0.0,0.3805,0.0,-0.077459777,0,0.0,5.752853607,5.752853607,37.02,1.989197531,0,0,6.534,0.0,0.0,0.0,-0.077459777,16.0166,0.0,0.3805,12.62878915,0,0.104011111,-0.077459777,0.0,0.0,0.0,0,8.057278,0.0,0.0,0.0,0,0.3805
213.5711,147.0,14.19562357,2.9634,2.00229,0.499009209,3.05e-17,0.0,14.6946,0.0,0.30491267,0,4.5482,16.39740586,30.33183534,9.16,0.0,0,0,6.6283,1.11e-16,1.11e-16,1.11e-16,0.060982534,169.9295,0.0,0.90964,0.0,0,0.197747826,0.271320628,1.11e-16,4.5482,0.0,0,8.531668,0.0,11.76188495,0.0,0,4.1633
177.438,146.0,17.03203704,2.6775,1.79994,0.492317199,-0.037516655,0.0,11.2608,0.0,-0.450199861,0,3.7536,0.0,24.26546827,8.45,0.0,1,0,6.534,-0.15006662,-0.15006662,-0.15006662,-0.112549965,39.1444,0.0,0.9384,0.0,0,0.150734615,0.192720626,-0.15006662,3.7536,0.0,0,8.554539,0.0,0.0,0.0,0,4.1994
1.839,91.0,0.0,2.7247,4.93949,0.38271294,-0.350613786,0.0,-0.3187,0.0,-0.350613786,0,-0.4442,18.2019497,12.21787344,8.1,2.063657407,0,0,6.6283,-0.421603931,-0.421603931,-0.421603931,-0.350613786,32.0991,0.0,-0.3187,0.0,0,-0.012913333,-0.350613786,-0.421603931,-0.4442,5.112436885,0,7.378764,0.0,0.0,0.0,0,-0.3187
8.986,116.6666667,0.0,2.6624,2.50998,0.374815647,-0.080898635,0.0,0.3805,0.0,-0.080898635,0,0.0,0.0,6.255769184,38.25,0.0,0,0,6.534,0.0,0.0,0.0,-0.080898635,11.6408,0.0,0.3805,12.62878915,0,0.091,-0.080898635,0.0,0.0,0.0,0,8.096066,0.0,6.255769184,0.0,0,0.3805
102.3266,108.6666667,6.810092593,2.8299,2.31711,0.505753791,-0.055063798,4.794537184,5.3321,5.969305288,-0.05006415,0,1.9412,4.895483476,30.52123746,15.28,0.0,0,0,7.3695,-0.090638179,-0.090638179,-0.090638179,-0.01668805,229.6696,5.969305288,0.64735,0.0,1,0.110878947,0.038978834,-0.090638179,1.9412,0.0,0,8.565624,0.0,36.02735322,0.0,0,2.0979
92.0816,90.0,7.150462963,2.7285,2.63517,0.462918124,-0.055062848,0.0,5.7546,0.0,0.072575855,0,1.9486,0.0,30.52123746,11.8,0.0,0,0,6.7672,-0.090638209,-0.090638209,-0.090638209,0.024191952,139.742,0.0,0.6492,0.0,0,0.124358824,0.124239089,-0.090638209,1.9486,0.0,0,7.958878,0.0,23.89461909,0.0,0,2.5056
26.121,109.0,0.0,4.0028,4.96686,0.547158026,-0.169109069,0.0,5.638,35.78894436,-2.042467986,0,0.0,0.0,5.752853607,6.84,0.0,0,0,6.534,0.0,0.0,0.0,-0.170205665,260.4832,47.96261959,0.459906667,69.70418477,0,0.186855556,-0.034531451,0.0,0.0,0.0,0,8.259311,0.0,0.0,0.0,0,1.0555
147.484,96.0,0.129351852,3.6779,4.36137,0.419631126,2.31e-17,17.56166019,6.945,0.0,3.365105676,0,2.5317,0.0,0.0,14.4,0.0,0,4,6.534,1.11e-16,1.11e-16,1.11e-16,0.560850946,66.0345,28.16436684,0.42195,0.0,0,0.194746154,0.812099377,1.11e-16,2.5317,23.26888336,0,9.048857,0.0,0.0,23.26888336,0,2.5317
159.7068,129.6666667,13.00765779,3.1516,1.93302,0.465224331,0.046422906,16.83559397,1.0832,0.0,0.123619792,0,1.5924,24.26546827,24.26546827,6.81,0.0,0,0,6.5876,0.414992463,0.414992463,0.414992463,0.030904948,284.7063,33.77019565,0.30295,0.0,0,0.065023333,0.092845811,0.829984925,1.5924,0.0,0,14.408329,0.0,0.0,0.0,0,0.6059
40.543,129.3333333,-2.150671899,2.8967,2.63373,0.49207662,-0.148788352,0.0,-2.3165,11.93861058,-0.743941758,0,-0.9263,0.0,6.420821623,26.28,-0.566597345,0,0,7.591,-0.111501017,-0.234610807,-0.167395315,-0.148788352,1243.5247,42.3814081,-0.4633,12.62878915,2,-0.059624324,-0.074360498,-0.669581261,-0.67425,0.0,0,8.250049,0.25345,0.0,0.0,0,0.3805
16.6218,136.3333333,-0.816358025,2.9203,3.2523,0.420150107,-0.094174967,0.0,-0.0417,5.969305288,-0.188349935,0,-0.4222,0.0,0.0,22.86,0.0,0,0,7.591,-0.113511521,-0.113511521,-0.113511521,-0.094174967,57.1776,12.01114612,-0.02085,12.62878915,1,-0.047992857,-0.074838414,-0.113511521,-0.4222,0.0,0,8.236622,0.0,0.0,0.0,0,0.3805
30.4536,113.6666667,-1.845273054,3.0086,3.13226,0.48431105,-0.136876822,0.0,0.452,11.93861058,-0.410630467,0,-0.4222,0.0,0.0,13.11,0.0,0,0,7.591,-0.113467355,-0.113467355,-0.113467355,-0.136876822,493.2632,24.02229223,0.150666667,0.0,2,-0.031092308,-0.113467355,-0.22693471,-0.4222,0.0,0,8.549594,0.0,0.0,0.0,0,1.2964
30.4536,115.6666667,-1.845273054,2.9984,3.21554,0.474979306,-0.136876822,0.0,0.452,11.93861058,-0.410630467,0,-0.4222,0.0,0.0,10.31,0.0,0,0,7.591,-0.113467355,-0.113467355,-0.113467355,-0.136876822,503.0731,24.02229223,0.150666667,0.0,2,-0.031092308,-0.113467355,-0.22693471,-0.4222,0.0,0,8.478734,0.0,0.0,0.0,0,1.2964
30.4536,112.6666667,-1.845273054,3.0039,3.08772,0.479327233,-0.136876822,0.0,0.452,11.93861058,-0.410630467,0,-0.4222,0.0,0.0,10.51,0.0,0,0,7.591,-0.113467355,-0.113467355,-0.113467355,-0.136876822,549.9213,24.02229223,0.150666667,0.0,2,-0.031092308,-0.113467355,-0.22693471,-0.4222,0.0,0,8.580849,0.0,0.0,0.0,0,1.2964
