Atom1_ESP All area (Ang^2),c1ccncc1,Atom1_ALIE Max value,Atom1_ESP Minimal value (kcal/mol),Mid-Fun_MR_Max,NumAromaticRings,Conju_LogP_Max,Conju_PEOE-Charge_Mean,Mid-Fun_LogP_Mean,PEOE_VSA2,Conju-Part-Wt (Max-Conju),c1ccsc1,Conju_PEOE-Charge_Sum,Thioacetal,Atom1_ESP All average (kcal/mol),BalabanJ,Mid-Fun_LogP_Max,Conju_PEOE-Charge_Max,Amide,PEOE_VSA9,SlogP_VSA8,VSA_EState7,Atom_LogP_Delta,Tri_boron,Atom1_ALIE Min value,Conju_LogP_Mean,Dialkylthioether,HallKierAlpha,SMR_VSA1,PEOE_VSA12,Conju_LogP_Min,Fun_MR_Min,Fun_PEOE-Charge_Min,MinAbsEStateIndex,MaxAbsEStateIndex,Atom_LogP_Min
16.87092,0,15.596793,16.841987,34.0375,1,0.6122,-0.125967804,0.413466667,4.794537184,108.121,1,-0.125967804,0,39.01412,2.903361776,0.6122,-0.125967804,0,4.877147194,0.0,0.0,1.168,1,9.858382,0.6122,0,-0.645064935,14.84258233,0.0,0.6122,5.2285,-0.124460248,0.053796296,10.72845522,-0.5443
17.21584,0,15.10732,0.743094,32.019,1,2.5106,-4.16e-17,2.5106,0.0,160.015,1,-4.16e-17,0,20.66318,3.049648321,2.5106,-4.16e-17,0,3.786415218,0.0,0.0,0.7226,0,9.734129,2.5106,0,0.18,0.0,0.0,2.5106,8.927,-0.0389518,1.196759259,3.299768519,0.123
13.47059,0,14.326353,-7.521853,8.986,0,-0.4222,-0.123181866,-0.02085,4.794537184,44.009,0,-0.123181866,0,24.20452,2.847378923,0.3805,-0.123181866,0,5.752853607,0.0,0.0,0.9375,0,8.768344,-0.4222,0,-0.18,9.901064579,0.0,-0.4222,7.6358,-0.123181866,0.083333333,9.291666667,-0.2893
16.36156,0,14.612181,-13.944614,15.182,0,-0.4222,-0.133720011,0.150666667,9.589074368,44.009,0,-0.26744002099999997,0,21.85,3.007305636,1.2964,-0.133720011,0,12.84164325,0.0,0.259400983,0.9375,0,8.509234,-0.4222,0,-0.36,19.80212916,0.0,-0.4222,7.6358,-0.187113833,0.129700491,10.02351676,-0.2893
16.8162,0,13.237998,-37.500848,10.197,0,0.6792,-0.019289255,0.6792,0.0,24.022,0,-0.038578509,0,-10.74523,2.679549207,0.6792,-0.019289255,0,0.0,0.0,3.793981481,0.8517,0,7.853093,0.6792,0,-0.17,0.0,0.0,0.6792,10.197,-0.019289255,1.03375,3.577361111,-0.2035
17.09378,0,15.608003,29.556795,29.0733,1,0.8413,-1.67e-16,0.8413,0.0,126.116,0,-1.67e-16,0,47.35735,2.928375237,0.8413,-1.67e-16,0,5.510539274,0.0,0.0,0.9476,0,10.455429,0.8413,0,-0.9,9.901064579,0.0,0.8413,7.8573,-0.06943765,0.12037037,10.0062037,-0.3239
14.31233,0,16.427008,-10.488057,63.4573,2,3.3274,-9.71e-17,2.069066667,0.0,296.284,0,-9.71e-17,0,21.34134,2.470558143,3.1036,-9.71e-17,0,11.12690298,11.12690298,0.0,0.9375,0,8.927329,3.3274,0,-1.92,19.80212916,0.0,3.3274,7.8573,-0.091015317,0.116052217,10.91692787,-0.2893
14.60237,0,15.234457,-22.625648,43.1164,1,2.2109,-9.71e-17,1.9752,0.0,153.593,0,-9.71e-17,0,6.92188,3.17167803,2.429,-9.71e-17,0,0.0,0.0,0.0,1.7165,0,8.619411,2.2109,0,-0.34,0.0,0.0,2.2109,4.7524,-0.085271898,0.616512346,5.602993827,-1.027
16.00221,0,14.663228,-10.020452,40.6533,1,1.6735,-4.16e-17,1.5989,0.0,148.142,0,-4.16e-17,0,16.26692,3.003400685,1.8302,-4.16e-17,0,5.563451492,0.0,0.0,0.9375,0,8.820826,1.6735,0,-0.96,9.901064579,0.0,1.6735,7.8573,-0.092233376,0.28962963,10.28728269,-0.2893
2.35623,0,16.036022,-19.549557,57.6558,2,2.3516,0.437075827,1.24972,0.0,204.213,0,0.437075827,0,26.84914,2.496128967,2.881,0.437075827,0,9.790966951,0.0,0.0,1.4889,0,12.923427,2.3516,0,-2.01,8.417796984,9.837253136,2.3516,4.7524,-0.231001787,0.218955026,12.17476379,-1.027
15.8555,1,13.606836,-27.091129,23.339,1,0.9365,-0.030644618,0.6585,4.983978521,74.062,0,-0.030644618,0,0.1233,2.832085835,0.9365,-0.030644618,0,0.0,0.0,3.569382716,0.9721,0,8.201926,0.9365,0,-0.5,0.0,0.0,0.9365,8.986,-0.071932486,0.771666667,4.070123457,-0.3239
17.44494,2,14.726296,-21.406825,58.392,2,2.6724,-8.33e-17,1.801828571,0.0,300.276,0,-8.33e-17,0,19.14429,1.973886716,2.9858,-8.33e-17,0,11.12690298,0.0,2.567820462,0.9721,0,9.284788,2.6724,2,-2.06,19.80212916,0.0,2.6724,7.591,-0.090543563,0.128042695,10.66854204,-0.3239
14.84738,0,13.6285,-8.418721,63.918,2,4.3024,2.08e-16,2.799485714,20.22863654,300.276,0,2.08e-16,0,22.31719,2.217230744,4.8476,2.08e-16,0,19.63758905,0.0,0.0,0.9878,0,9.0124,4.3024,2,-2.06,9.846622098,0.0,4.3024,6.9944,-0.453113998,0.0105702,10.88298706,-0.3396
15.85787,0,13.607205,-32.715471,30.554,1,2.1949,-0.030586193,1.2877,0.0,107.519,0,-0.030586193,0,-4.78496,3.006524007,2.1949,-0.030586193,0,0.0,0.0,0.0,0.9572,0,8.226418,2.1949,0,-0.14,0.0,0.0,2.1949,5.853,-0.084021777,0.708009259,5.775478395,-0.2677
15.84892,0,13.023296,-28.028491,63.918,2,3.6504,0.0,2.6132,0.0,236.28,0,0.0,0,1.23699,2.085460459,4.8476,0.0,0,0.0,0.0,0.0,1.6752,0,8.60425,3.6504,2,-1.26,0.0,0.0,3.6504,4.7524,-0.10061793,0.800465325,5.857339695,-1.027
15.90163,0,13.57405,-34.791566,25.544,1,1.5415,-0.028941286,0.961,0.0,72.066,0,-0.028941286,0,-5.93915,2.832085835,1.5415,-0.028941286,0,0.0,0.0,0.0,0.9159,0,8.141988,1.5415,0,-0.43,0.0,0.0,1.5415,8.986,-0.071992949,0.834166667,4.110123457,-0.2677
2.43676,0,16.457486,-6.046079,58.3358,2,3.1872,0.43707591,1.4562,0.0,176.199,0,0.43707591,0,45.43377,2.550501406,2.5194,0.43707591,0,9.790966951,0.0,0.0,0.5232,0,13.951587,3.1872,0,-1.61,8.417796984,9.837253136,3.1872,8.9198,-0.231007083,0.329814815,12.0337963,-0.3339
17.62489,0,13.145827,-27.790845,64.598,2,4.486,1.87e-16,3.4228,0.0,208.266,0,1.87e-16,0,0.29731,1.957475896,4.486,1.87e-16,0,0.0,0.0,0.0,0.5252,0,8.610768,4.486,2,-0.86,0.0,0.0,4.486,7.591,-0.105123662,1.292919501,2.125601852,0.123
17.02649,0,16.516207,9.760874,37.418,2,1.5012,0.259922365,0.5395,0.0,130.151,0,0.519844731,0,45.19461,9.8e-07,1.5012,0.574892792,0,0.0,10.21662063,0.0,3.6197,0,10.493687,0.5395,0,-0.94,31.44961508,17.5719964,-0.4222,7.6358,-0.055048061,0.0,10.49415108,-2.996
16.05741,2,15.134031,-2.099255,60.188,2,3.276,-9.71e-17,2.616133333,9.967957042,212.258,0,-9.71e-17,0,27.80538,1.957475896,3.276,-9.71e-17,0,0.0,0.0,7.204135802,0.9721,0,9.342854,3.276,2,-1.0,0.0,0.0,3.276,7.591,-0.10488972,1.210011338,3.967781872,-0.3239
17.23386,0,15.373767,6.205727,23.421,1,1.603,-0.084344237,0.5904,4.794537184,80.111,1,-0.168688475,0,26.41994,2.577391269,1.603,-0.040070805,0,6.420821623,0.0,0.150462963,0.913,0,9.586983,0.5904,0,-0.83,9.901064579,0.0,-0.4222,7.6358,-0.12861767,0.150462963,10.07333333,-0.2893
15.16943,0,13.17813,-34.994824,8.986,0,0.0,0.0,0.3805,0.0,0.0,0,0.0,0,-10.45241,2.12291795,0.3805,0.0,0,0.0,0.0,6.963904321,0.9159,0,8.00382,0.0,0,0.35,0.0,0.0,0.0,8.986,-0.073428046,0.730324074,4.36132716,-0.2677
9.49078,0,16.460702,15.058345,1.085,0,0.0,0.0,-0.0684,8.366170865,0.0,0,0.0,0,39.90191,2.367351851,-0.0684,0.0,0,13.21376393,0.0,0.0,0.4569,0,11.255411,0.0,0,0.07,12.57506936,0.0,0.0,1.085,-0.266000843,0.464891975,9.909722222,-0.3339
16.1848,0,13.244459,-34.322827,25.544,1,1.5415,-0.013187509,1.5415,0.0,72.066,0,-0.013187509,1,-6.65639,2.082510087,1.5415,-0.013187509,0,4.581970014,0.0,1.373677485,0.8517,0,8.000043,1.5415,0,-0.08,0.0,0.0,1.5415,25.544,-0.013187509,0.694398148,2.23212963,-0.2035
15.10204,0,13.491081,-36.375041,15.182,0,0.0,0.0,1.2964,0.0,0.0,0,0.0,0,-5.85147,3.56300175,1.2964,0.0,0,0.0,0.0,0.0,0.8533,0,8.169461,0.0,0,0.7,0.0,0.0,0.0,15.182,-0.175297376,0.386851852,2.246435185,-0.2051
12.66277,0,13.714983,-37.635633,8.986,0,0.0,0.0,0.3805,0.0,0.0,0,0.0,0,-12.91018,5.039847129,0.3805,0.0,0,0.0,0.0,0.0,0.9159,0,7.836179,0.0,0,0.35,0.0,0.0,0.0,8.986,-0.069697112,0.056319444,4.723294753,-0.2677
22.55667,0,11.188102,-54.287282,0.0,0,-0.2207,-0.070027387,0.0,0.0,58.085,0,-0.070027387,0,-32.74626,3.257586161,0.0,-0.070027387,0,4.988502102,0.0,0.0,1.6672,0,7.38898,-0.2207,0,-0.11,0.0,0.0,-0.2207,0.0,0.0,0.361111111,5.166666667,-1.019
23.39097,0,11.175964,-55.155749,0.0,0,-0.2207,-0.076853784,0.0,0.0,58.085,0,-0.076853784,0,-32.86015,2.803039488,0.0,-0.076853784,0,4.988502102,0.0,0.0,1.6672,0,7.403043,-0.2207,0,-0.11,0.0,0.0,-0.2207,0.0,0.0,0.5,4.842592593,-1.019
15.38161,0,13.307269,-39.787592,8.986,0,0.0,0.0,0.3805,0.0,0.0,0,0.0,0,-10.30309,2.993497243,0.3805,0.0,0,0.0,0.0,0.0,0.9159,0,8.050209,0.0,0,0.7,0.0,0.0,0.0,8.986,-0.072549236,0.410493827,4.116512346,-0.2677
17.67328,0,13.011616,-31.322578,62.802,2,4.1958,-0.088259299,3.229333333,0.0,208.266,0,-0.088259299,0,-3.60481,1.966014635,4.1958,-0.088259299,0,0.0,0.0,0.0,0.56368,0,8.544699,4.1958,2,-0.86,0.0,0.0,4.1958,7.591,-0.105122981,1.302013889,2.167847222,0.08452
1.87698,0,16.828477,2.275175,36.9172,1,1.4473,0.321160919,0.1889,0.0,104.133,0,0.321160919,0,48.01166,3.201515931,0.1889,0.321160919,0,4.895483476,0.0,0.0,1.2332,0,14.074406,1.4473,0,-0.87,8.417796984,10.02329115,1.4473,13.1072,-0.127769739,0.155648148,10.72194822,-1.019
17.29646,0,15.048198,7.444075,20.318,1,0.8529,-0.119855567,0.14795,0.0,82.107,0,-0.119855567,0,28.38766,2.688675037,0.8529,-0.119855567,0,11.20446727,0.0,0.746527778,0.9476,0,9.734648,0.8529,0,-0.41,5.106527395,0.0,0.8529,2.2188,-0.185956961,0.225231481,8.541388889,-0.3239
17.14153,0,14.616037,-2.32947,31.121,1,2.3655,-0.056214879,2.3655,0.0,160.015,1,-0.056214879,0,17.80195,3.042002767,2.3655,-0.056214879,0,3.786415218,0.0,0.0,0.76108,0,9.606172,2.3655,0,0.18,0.0,0.0,2.3655,8.927,-0.038940776,1.212962963,3.350601852,0.08452
17.63938,0,15.466137,5.873094,23.4234,1,-0.0248,-0.081141357,-0.0248,0.0,98.11,0,-0.081141357,0,31.50856,3.042002767,-0.0248,-0.081141357,0,0.0,0.0,0.0,1.6507,0,9.817609,-0.0248,0,-0.64,0.0,5.13155848,-0.0248,4.7524,-0.056379599,0.539351852,5.223518519,-1.027
15.69545,0,13.399188,-34.30227,8.986,0,0.0,0.0,0.3805,0.0,0.0,0,0.0,0,-8.5482,2.876696645,0.3805,0.0,0,0.0,0.0,23.11900285,0.9159,0,8.037036,0.0,0,0.35,0.0,0.0,0.0,8.986,-0.077160952,1.067901235,4.243257212,-0.2677
15.69782,0,13.379686,-34.218743,8.986,0,0.0,0.0,0.3805,0.0,0.0,0,0.0,0,-8.48651,2.595082707,0.3805,0.0,0,0.0,0.0,8.266319051,0.9159,0,8.037445,0.0,0,0.35,0.0,0.0,0.0,8.986,-0.077160952,1.061631944,4.145649364,-0.2677
17.07866,0,14.969945,-8.455355,66.7605,3,2.8205,-0.279729602,1.69305,4.794537184,262.225,1,-0.279729602,0,12.01628,2.074985487,3.0875,-0.279729602,0,0.0,10.96924436,0.0,1.4423,0,9.808199,2.8205,0,-2.4,9.211688121,5.783244946,2.8205,2.819,-0.371996701,0.075452937,12.37817688,-0.8186
15.71512,0,13.269981,-33.410695,8.986,0,0.0,0.0,0.3805,0.0,0.0,0,0.0,0,-7.50502,1.632993162,0.3805,0.0,0,0.0,0.0,0.0,0.9159,0,8.057278,0.0,0,0.35,0.0,0.0,0.0,8.986,-0.077459777,0.944444444,3.788580247,-0.2677
17.00936,0,14.704647,-25.063918,55.484,2,4.5482,1.11e-16,2.93892,0.0,225.659,0,1.11e-16,0,5.1183,2.10860605,4.1633,1.11e-16,0,11.37477255,0.0,0.0,1.2083,0,8.531668,4.5482,1,-1.12,0.0,0.0,4.5482,3.9627,-0.18704592,0.765028817,5.954481153,-0.5188
