FEaverage H2,FEaverage CO,FEaverage CH4,FEaverage C2H4,FE formate,FE acetate,FE EtOH,FE n-PrOH,FE C2+
35.99584525,14.76012815,5.825666698,17.86695344,7.25778674,1.979396384,7.587686137,0,27.43403596
21.43183398,18.14492391,8.633012932,31.74782075,2.081696918,1.619097603,10.0615351,0,43.42845346
30.2938797,20.75014158,3.251174257,20.75404455,12.34817295,1.112448013,6.674688079,1.501804818,30.04298546
18.98689193,19.8879205,7.140324969,32.91496547,3.004139793,2.288868414,11.58739635,0,46.79123023
15.94797818,21.00170182,4.5552,29.87319273,5.01722,2.006888,13.044772,0,44.92485273
32.36509833,17.62989638,4.19504905,21.17799367,8.952910465,1.67539845,9.10997907,3.298440698,35.26181188
26.35901121,23.83356313,7.480298111,18.66967153,3.573946564,2.084802162,7.147893128,0,27.90236682
36.57337436,15.2283241,6.952894359,27.90980923,5.514768408,2.100864156,9.847800729,0,39.85847412
25.65244232,26.17095436,5.142592531,27.61689959,5.209873686,2.778599299,11.46172211,0,41.85722099
15.30344907,18.37685443,7.739143918,35.56307134,3.004323353,1.848814371,14.79051497,0,52.20240068
27.8776173,15.56702444,3.299911685,26.98741921,10.60402778,1.087592593,10.11461111,3.425916667,41.61553958
29.48201053,24.86502947,7.585237895,18.23278737,9.959816566,2.915068263,7.773515369,0,28.921371
25.40646761,20.27483493,9.102503662,27.81386366,6.217858955,2.869781056,13.3923116,0,44.07595631
22.37721143,4.908937143,5.566354286,35.26025143,4.93716127,3.118207118,15.59103559,0,53.96949413
25.20098615,18.27042864,14.03781479,28.37012918,4.961819236,1.044593523,10.968232,0,40.3829547
25.01350268,12.79790845,6.48492866,33.14422763,8.643187203,1.868797233,15.88477648,0.700798962,51.59860031
21.41593992,21.26409408,10.0189872,25.22911536,4.217702071,2.663811835,18.64668284,0,46.53961004
33.76834,16.20162,4.89392,21.47076,5.087417127,6.460212225,8.236770587,0,36.16774281
23.33610775,20.12236314,5.024469873,29.40592284,4.22969169,1.952165395,10.08618788,1.952165395,43.3964415
74.95874299,9.806059401,3.053515689,8.459956886,6.371974131,1.918443824,3.288760842,0,13.66716155
31.79798421,17.83730235,3.714395388,20.89906803,4.856773034,1.416558801,8.499352809,0.910644944,31.72562458
14.12401805,10.82498887,3.174149774,36.53433744,3.327384178,2.730161377,20.47621033,1.535715775,61.27642492
17.28789085,28.32271479,4.497211268,38.31790563,5.216044744,1.324709776,9.935323322,0,49.57793873
33.00237983,7.960852437,4.11293042,32.25682286,7.758292127,2.496921604,8.025819442,0,42.7795639
20.847048,18.406512,3.805344,30.190464,5.739716079,4.522200547,8.870470304,0,43.58313485
21.81202187,13.59507885,5.272070504,28.50661554,7.76975372,1.670914778,10.02548867,0,40.20301899
24.41910245,22.62463762,3.126245353,20.35185725,17.01216674,2.555818477,2.875295787,0,25.78297151
38.07656102,18.44412399,2.813237033,11.53685279,21.14509838,1.174727688,4.229019676,0,16.94060015
29.77524,1.540254375,13.3759725,26.26111125,1.815679642,2.420906189,14.97935704,0,43.66137448
19.69724272,18.65760932,7.979594563,34.28340816,2.239497099,2.090197292,13.43698259,0,49.81058804
20.40420156,19.25743792,10.05329455,27.41584208,3.073303359,2.048868906,10.53704009,0,40.00175107
34.21798054,16.74438486,2.60243027,19.22843676,10.47663566,1.269895232,7.301897582,1.428632136,29.22886171
32.69673449,15.67764094,4.746678425,20.6987074,5.630547495,1.251232777,9.759615658,0,31.70955584
21.33631304,25.00789565,2.736166957,16.37129739,13.46840929,1.662766579,9.477769503,0,27.51183347
23.27667986,14.92628101,4.893962166,31.33107292,3.437853659,0.982243902,14.73365854,0,47.04697536
18.61488,5.86944,3.30624,34.35264,3.323148814,3.481393996,19.46415734,0,57.29819134
